Student,Country,Degree,Answer_File,Human_Content_Emotion,Human_Voice_Emotion
1,India,Master,1-M-INDIA_1_MET.wav,happy,calm
1,India,Master,1-M-INDIA_2_CUR.wav,happy,calm
1,India,Master,1-M-INDIA_3_TIM.wav,happy,neutral
1,India,Master,1-M-INDIA_4_QUA.wav,neutral,neutral
1,India,Master,1-M-INDIA_5_EVA.wav,disgust,angry
2,Chile,Bachelor,2-B-CHILE_1_MET.wav,fearful,angry
2,Chile,Bachelor,2-B-CHILE_2_CUR.wav,angry,angry
2,Chile,Bachelor,2-B-CHILE_3_TIM.wav,sad,calm
2,Chile,Bachelor,2-B-CHILE_4_QUA.wav,happy,neutral
2,Chile,Bachelor,2-B-CHILE_5_EVA.wav,happy,neutral
3,Nigeria,Bachelor,3-B-NIGERIA_1_MET.wav,happy,calm
3,Nigeria,Bachelor,3-B-NIGERIA_2_CUR.wav,happy,calm
3,Nigeria,Bachelor,3-B-NIGERIA_3_TIM.wav,happy,calm
3,Nigeria,Bachelor,3-B-NIGERIA_4_QUA.wav,neutral,happy
3,Nigeria,Bachelor,3-B-NIGERIA_5_EVA.wav,sad,happy
4,India,Master,4-M-INDIA_1_MET.wav,happy,happy
4,India,Master,4-M-INDIA_2_CUR.wav,happy,happy
4,India,Master,4-M-INDIA_3_TIM.wav,sad,angry
4,India,Master,4-M-INDIA_4_QUA.wav,sad,neutral
4,India,Master,4-M-INDIA_5_EVA.wav,sad,neutral
5,India,Master,5-M-INDIA_1_MET.wav,sad,sad
5,India,Master,5-M-INDIA_2_CUR.wav,angry,sad
5,India,Master,5-M-INDIA_3_TIM.wav,sad,sad
5,India,Master,5-M-INDIA_4_QUA.wav,neutral,calm
5,India,Master,5-M-INDIA_5_EVA.wav,sad,calm
6,Germany,Bachelor,6-B-GERMANY_1_MET.wav,happy,happy
6,Germany,Bachelor,6-B-GERMANY_2_CUR.wav,happy,neutral
6,Germany,Bachelor,6-B-GERMANY_3_TIM.wav,sad,sad
6,Germany,Bachelor,6-B-GERMANY_4_QUA.wav,neutral,neutral
6,Germany,Bachelor,6-B-GERMANY_5_EVA.wav,neutral,neutral
7,Pakistan,Bachelor,7-B-PAKISTAN_1_MET.wav,happy,happy
7,Pakistan,Bachelor,7-B-PAKISTAN_2_CUR.wav,neutral,happy
7,Pakistan,Bachelor,7-B-PAKISTAN_3_TIM.wav,happy,happy
7,Pakistan,Bachelor,7-B-PAKISTAN_4_QUA.wav,happy,happy
7,Pakistan,Bachelor,7-B-PAKISTAN_5_EVA.wav,sad,neutral
8,Nepal,Master,8-M-NEPAL_1_MET.wav,calm,calm
8,Nepal,Master,8-M-NEPAL_2_CUR.wav,sad,neutral
8,Nepal,Master,8-M-NEPAL_3_TIM.wav,happy,calm
8,Nepal,Master,8-M-NEPAL_4_QUA.wav,happy,neutral
8,Nepal,Master,8-M-NEPAL_5_EVA.wav,surprised,neutral
9,India,Master,9-M-INDIA_1_MET.wav,sad,sad
9,India,Master,9-M-INDIA_2_CUR.wav,sad,angry
9,India,Master,9-M-INDIA_3_TIM.wav,neutral,calm
9,India,Master,9-M-INDIA_4_QUA.wav,neutral,sad
9,India,Master,9-M-INDIA_5_EVA.wav,sad,sad
10,Germany,Bachelor,10-B-GERMANY_1_MET.wav,sad,angry
10,Germany,Bachelor,10-B-GERMANY_2_CUR.wav,sad,sad
10,Germany,Bachelor,10-B-GERMANY_3_TIM.wav,neutral,happy
10,Germany,Bachelor,10-B-GERMANY_4_QUA.wav,happy,neutral
10,Germany,Bachelor,10-B-GERMANY_5_EVA.wav,sad,happy
11,Germany,Bachelor,11-B-GERMANY_1_MET.wav,neutral,sad
11,Germany,Bachelor,11-B-GERMANY_2_CUR.wav,sad,sad
11,Germany,Bachelor,11-B-GERMANY_3_TIM.wav,happy,happy
11,Germany,Bachelor,11-B-GERMANY_4_QUA.wav,neutral,calm
11,Germany,Bachelor,11-B-GERMANY_5_EVA.wav,sad,calm
12,Germany,Bachelor,12-B-GERMANY_1_MET.wav,disgust,sad
12,Germany,Bachelor,12-B-GERMANY_2_CUR.wav,sad,neutral
12,Germany,Bachelor,12-B-GERMANY_3_TIM.wav,neutral,calm
12,Germany,Bachelor,12-B-GERMANY_4_QUA.wav,happy,calm
12,Germany,Bachelor,12-B-GERMANY_5_EVA.wav,neutral,calm
13,India,Master,13-M-INDIA_1_MET.wav,happy,neutral
13,India,Master,13-M-INDIA_2_CUR.wav,happy,happy
13,India,Master,13-M-INDIA_3_TIM.wav,neutral,neutral
13,India,Master,13-M-INDIA_4_QUA.wav,sad,angry
13,India,Master,13-M-INDIA_5_EVA.wav,neutral,neutral
14,India,Master,14-M-INDIA_1_MET.wav,sad,angry
14,India,Master,14-M-INDIA_2_CUR.wav,happy,angry
14,India,Master,14-M-INDIA_3_TIM.wav,happy,neutral
14,India,Master,14-M-INDIA_4_QUA.wav,sad,angry
14,India,Master,14-M-INDIA_5_EVA.wav,happy,angry
15,India,Master,15-M-INDIA_1_MET.wav,sad,angry
15,India,Master,15-M-INDIA_2_CUR.wav,happy,happy
15,India,Master,15-M-INDIA_3_TIM.wav,happy,calm
15,India,Master,15-M-INDIA_4_QUA.wav,angry,neutral
15,India,Master,15-M-INDIA_5_EVA.wav,happy,neutral
16,Germany,Bachelor,16-B-GERMANY_1_MET.wav,neutral,neutral
16,Germany,Bachelor,16-B-GERMANY_2_CUR.wav,calm,neutral
16,Germany,Bachelor,16-B-GERMANY_3_TIM.wav,calm,fearful
16,Germany,Bachelor,16-B-GERMANY_4_QUA.wav,calm,neutral
16,Germany,Bachelor,16-B-GERMANY_5_EVA.wav,neutral,neutral
17,Colombia,Master,17-M-COLOMBIA_1_MET.wav,neutral,neutral
17,Colombia,Master,17-M-COLOMBIA_2_CUR.wav,neutral,neutral
17,Colombia,Master,17-M-COLOMBIA_3_TIM.wav,neutral,neutral
17,Colombia,Master,17-M-COLOMBIA_4_QUA.wav,happy,neutral
17,Colombia,Master,17-M-COLOMBIA_5_EVA.wav,happy,neutral
18,Germany,Bachelor,18-B-GERMANY_1_MET.wav,fearful,angry
18,Germany,Bachelor,18-B-GERMANY_2_CUR.wav,fearful,angry
18,Germany,Bachelor,18-B-GERMANY_3_TIM.wav,neutral,neutral
18,Germany,Bachelor,18-B-GERMANY_4_QUA.wav,angry,angry
18,Germany,Bachelor,18-B-GERMANY_5_EVA.wav,angry,angry
19,Germany,Bachelor,19-B-GERMANY_1_MET.wav,happy,neutral
19,Germany,Bachelor,19-B-GERMANY_2_CUR.wav,neutral,sad
19,Germany,Bachelor,19-B-GERMANY_3_TIM.wav,sad,happy
19,Germany,Bachelor,19-B-GERMANY_4_QUA.wav,angry,angry
19,Germany,Bachelor,19-B-GERMANY_5_EVA.wav,angry,angry
20,China,Bachelor,20-B-CHINA_1_MET.wav,neutral,sad
20,China,Bachelor,20-B-CHINA_2_CUR.wav,sad,sad
20,China,Bachelor,20-B-CHINA_3_TIM.wav,angry,calm
20,China,Bachelor,20-B-CHINA_4_QUA.wav,neutral,calm
20,China,Bachelor,20-B-CHINA_5_EVA.wav,neutral,neutral
21,Germany,Bachelor,21-B-GERMANY_1_MET.wav,neutral,neutral
21,Germany,Bachelor,21-B-GERMANY_2_CUR.wav,neutral,sad
21,Germany,Bachelor,21-B-GERMANY_3_TIM.wav,sad,happy
21,Germany,Bachelor,21-B-GERMANY_4_QUA.wav,happy,happy
21,Germany,Bachelor,21-B-GERMANY_5_EVA.wav,neutral,angry
22,Pakistan,Bachelor,22-B-PAKISTAN_1_MET.wav,sad,neutral
22,Pakistan,Bachelor,22-B-PAKISTAN_2_CUR.wav,neutral,angry
22,Pakistan,Bachelor,22-B-PAKISTAN_3_TIM.wav,neutral,calm
22,Pakistan,Bachelor,22-B-PAKISTAN_4_QUA.wav,happy,calm
22,Pakistan,Bachelor,22-B-PAKISTAN_5_EVA.wav,neutral,neutral
23,Iran,Master,23-M-IRAN_1_MET.wav,sad,happy
23,Iran,Master,23-M-IRAN_2_CUR.wav,happy,happy
23,Iran,Master,23-M-IRAN_3_TIM.wav,angry,angry
23,Iran,Master,23-M-IRAN_4_QUA.wav,happy,happy
23,Iran,Master,23-M-IRAN_5_EVA.wav,happy,sad
24,India,Master,24-M-INDIA_1_MET.wav,happy,happy
24,India,Master,24-M-INDIA_2_CUR.wav,happy,neutral
24,India,Master,24-M-INDIA_3_TIM.wav,neutral,happy
24,India,Master,24-M-INDIA_4_QUA.wav,happy,happy
24,India,Master,24-M-INDIA_5_EVA.wav,happy,happy
25,Germany,Bachelor,25-B-GERMANY_1_MET.wav,happy,neutral
25,Germany,Bachelor,25-B-GERMANY_2_CUR.wav,sad,neutral
25,Germany,Bachelor,25-B-GERMANY_3_TIM.wav,happy,calm
25,Germany,Bachelor,25-B-GERMANY_4_QUA.wav,happy,calm
25,Germany,Bachelor,25-B-GERMANY_5_EVA.wav,happy,calm
26,Germany,Bachelor,26-B-GERMANY_1_MET.wav,neutral,calm
26,Germany,Bachelor,26-B-GERMANY_2_CUR.wav,sad,calm
26,Germany,Bachelor,26-B-GERMANY_3_TIM.wav,happy,calm
26,Germany,Bachelor,26-B-GERMANY_4_QUA.wav,happy,calm
26,Germany,Bachelor,26-B-GERMANY_5_EVA.wav,surprised,calm
27,Germany,Bachelor,27-B-GERMANY_1_MET.wav,sad,sad
27,Germany,Bachelor,27-B-GERMANY_2_CUR.wav,happy,calm
27,Germany,Bachelor,27-B-GERMANY_3_TIM.wav,neutral,calm
27,Germany,Bachelor,27-B-GERMANY_4_QUA.wav,happy,neutral
27,Germany,Bachelor,27-B-GERMANY_5_EVA.wav,happy,neutral
28,India,Master,28-M-INDIA_1_MET.wav,sad,sad
28,India,Master,28-M-INDIA_2_CUR.wav,happy,neutral
28,India,Master,28-M-INDIA_4_QUA.wav,neutral,neutral
28,India,Master,28-M-INDIA_5_EVA.wav,neutral,neutral
29,India,Master,29-M-INDIA_1_MET.wav,happy,calm
29,India,Master,29-M-INDIA_4_QUA.wav,happy,neutral
29,India,Master,29-M-INDIA_5_EVA.wav,calm,neutral
30,Nepal,Bachelor,30-B-NEPAL_1_MET.wav,neutral,neutral
30,Nepal,Bachelor,30-B-NEPAL_2_CUR.wav,angry,angry
30,Nepal,Bachelor,30-B-NEPAL_3_TIM.wav,happy,neutral
30,Nepal,Bachelor,30-B-NEPAL_5_EVA.wav,happy,happy
